,Canonical_smiles,Murcko,ClassE,No
171,CN1C(=O)N(CCCCC(=O)C)C(=O)c2c1ncn2C,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,0,3392
8038,N\C(=N/N=C/c1ccc(F)cc1)\CC(O)c2cc3c(F)cc(F)cc3c4cc(ccc24)C(F)(F)F,C(CCc1cc2ccccc2c2ccccc12)=NN=Cc1ccccc1,1,4530
4159,COc1cc(NC(=O)c2ccccc2F)ccc1c3oc(NCCCCN4CCOCC4)nn3,O=C(Nc1ccc(-c2nnc(NCCCCN3CCOCC3)o2)cc1)c1ccccc1,0,2436
4559,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CCC2(O)C#C,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,0,3445
5493,CC(C)Oc1nc(ncc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)C4CCNCC4,c1ccc(Nc2ccnc(Nc3cnc(C4CCNCC4)nc3)n2)cc1,1,2450
5776,CCNC(=O)[C@@H]1C[C@H](CN1C(=O)c2coc3ccccc23)NC(=O)c4cc(CC)nn4C,O=C(NC1CCN(C(=O)c2coc3ccccc23)C1)c1ccn[nH]1,0,7839
4552,C[C@@H]1CC2=C(CCC(=O)C2)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@H]13,O=C1CCC2=C(CCC3C2CCC2CCCC23)C1,0,5642
5742,COC1COCCC1N[C@@H]2C[C@H]3CN(C[C@]3(C2)C(=O)N4CCc5ncc(cc5C4)C(F)(F)F)C6CC6,O=C(N1CCc2ncccc2C1)C12CC(NC3CCOCC3)CC1CN(C1CC1)C2,0,4598
5086,COC1COCCC1N[C@@H]2C[C@H]3C[C@H](C[C@]3(C2)C(=O)N4CCc5ncc(cc5C4)C(F)(F)F)N(C)C,O=C(N1CCc2ncccc2C1)C12CCCC1CC(NC1CCOCC1)C2,0,676
359,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)cccc4[C@@]3(C)O,O=C1C2=CC3C(=O)C=CCC3CC2Cc2ccccc21,0,38
2361,CC1(C)Oc2cccc(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccnc(N)c5)c2O1,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc4c3OCO4)CC2)CC1,1,1781
835,Cc1oc(nc1)c2ccc3CCN(CCCSc4nnc(c5ccc6[nH]ccc6c5)n4C)CCc3c2,c1coc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc5[nH]ccc5c4)[nH]2)CC3)n1,1,6070
4852,Cl.C1NCC1C(Oc2ccccc2)c3ccc4ccccc4c3,c1ccc(OC(c2ccc3ccccc3c2)C2CNC2)cc1,1,5236
2934,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc4cccs4)c1,c1ccc(OC2CC3CCC(C2)N3Cc2cccs2)cc1,1,3484
7124,Cn1c(SCCCN2CC3CCN(C3C2)c4ccc(cc4)C(F)(F)F)nnc1C5CCCC5,c1ccc(N2CCC3CN(CCCSc4nnc(C5CCCC5)[nH]4)CC32)cc1,1,3942
2817,COc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3CCc2c1,c1ccc2c(c1)CCC1C2CCC2CCCC21,0,2173
4123,FC(F)(F)c1ccc(NC(=O)NS(=O)(=O)c2ccc(OCCCCN3CCCC3)cc2)cc1,O=C(Nc1ccccc1)NS(=O)(=O)c1ccc(OCCCCN2CCCC2)cc1,0,6815
475,NC(=O)N1c2ccccc2CCc3ccccc13,c1ccc2c(c1)CCc1ccccc1N2,0,7413
3069,O[C@H]1CN(C[C@@H]1NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)[C@@H]3CC[C@@H](CC3)c4ccccc4,O=C(CNC(=O)c1ccccc1)NC1CCN(C2CCC(c3ccccc3)CC2)C1,1,2001
7350,CNC(=O)c1cc(OCCCCN2CCC(CC2)c3noc4cc(F)ccc34)ccc1F,c1ccc(OCCCCN2CCC(c3noc4ccccc34)CC2)cc1,1,873
3092,CC1CC(CC(C)(C)C1)OC(=O)C(O)c2ccccc2,O=C(Cc1ccccc1)OC1CCCCC1,0,7444
4592,CS(=O)(=O)c1ccc(CCN2CCN(CCc3ccc(cc3)[N+](=O)[O-])CC2)cc1,c1ccc(CCN2CCN(CCc3ccccc3)CC2)cc1,1,3639
1567,O=C1OCCN1C2CCN(CCc3ccc(Oc4nc5ccccc5s4)cc3)CC2,O=C1OCCN1C1CCN(CCc2ccc(Oc3nc4ccccc4s3)cc2)CC1,1,4086
1125,O=C(N1CCN(CC1)C2CC2)N3Cc4ccccc4C3,O=C(N1CCN(C2CC2)CC1)N1Cc2ccccc2C1,0,6576
6737,O=C1COc2ccc(CNC3CCN(CCN4C(=O)C=Cc5ncc(Oc6ccon6)cc45)CC3)nc2N1,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ncc(Oc6ccon6)cc54)CC3)nc2N1,0,7959
7121,COc1cccc(c1)N2CCC3CN(CCCSc4nnc(c5cnccn5)n4C)CC23,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnccn5)[nH]4)CC32)cc1,1,689
573,CN1C[C@@H]2C[C@H]1CN2c3cc4N(C=C(C(=O)O)C(=O)c4cc3F)C5CC5,O=c1ccn(C2CC2)c2cc(N3CC4CC3CN4)ccc12,0,7340
362,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,0,5979
420,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,c1ccccc1,0,934
5465,COc1ccccc1N2CCN(CCCCOc3ccc4C(=CC(=O)Oc4c3)C)CC2,O=c1ccc2ccc(OCCCCN3CCN(c4ccccc4)CC3)cc2o1,1,282
