,Canonical_smiles,Murcko,ClassB,No
1902,Cl.CN1CCN(CCCCN2C(=O)CN(\N=C\c3oc(cc3)c4ccc(Cl)cc4)C2=O)CC1,O=C1CN(N=Cc2ccc(-c3ccccc3)o2)C(=O)N1CCCCN1CCNCC1,1,7546
7609,OC(=O)COC[C@@H]1CC[C@@H](COC(=O)N(c2ccccc2)c3cccc(F)c3)CC1,O=C(OCC1CCCCC1)N(c1ccccc1)c1ccccc1,0,521
7679,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c4ccc(cc4)C(F)(F)F)C2)nnc1c5ccc(cc5)C#N,c1ccc(-c2nnc(SCCCN3CCC4(CC4c4ccccc4)C3)[nH]2)cc1,1,116
2899,CC(C)c1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)[C@@]34C[C@@H]3CN(CC=C)C4,O=S(=O)(Nc1ccc(C23CNCC2C3)cc1)c1ccccc1,1,8121
1837,CC(C)(O)c1ccc(c[n+]1[O-])C#Cc2cccc(c2)N3C=C(C(=O)NC4CC4)C(=O)c5cccnc35,O=C(NC1CC1)c1cn(-c2cccc(C#Cc3ccc[nH+]c3)c2)c2ncccc2c1=O,0,65
2313,COc1ccc(CCN2C(CN(NS(=O)(=O)C)C2=O)c3ccc(OC(C)C)cc3)cc1,O=C1NCC(c2ccccc2)N1CCc1ccccc1,0,3896
5185,Cc1ccc(COCc2cccc(COCc3ccc(C)cc3)[n+]2C)cc1,c1ccc(COCc2cccc(COCc3ccccc3)[nH+]2)cc1,1,2249
1700,CCN(CC)C(=O)c1ccc(cc1)C2=CC3(CCN(CC3)C(=O)C)Oc4ccccc24,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,0,2389
2529,CN(C)CCCCc1ccc(cc1)C2(C)COC2,c1ccc(C2COC2)cc1,0,8013
2453,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(c(F)c5)C(F)(F)F)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,489
7814,OC(=O)CC1CCC2(CCN(CC2)c3ccc(cn3)c4nc5cc(ccc5[nH]4)C(F)(F)F)OC1,c1ccc2[nH]c(-c3ccc(N4CCC5(CCCCO5)CC4)nc3)nc2c1,1,4267
7585,Cc1ncoc1c2nnc(SCCCN3CC[C@@]4(C[C@H]4c5ccc(F)cc5F)C3)n2C,c1ccc(C2CC23CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,691
1097,[Br-].CCCCCCCCCCCCCCCC[n+]1ccccc1,c1cc[nH+]cc1,0,890
3141,O=C1C=C(OCc2ccc3ccccc3c2)C=CN1c4ccc(OCCN5CCCC5)cc4,O=c1cc(OCc2ccc3ccccc3c2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,201
6430,Cn1cc(cn1)[C@H]2C[C@H]3[C@@H](CF)SC(=N[C@]3(CO2)c4ccc(F)cc4F)N,C1=NC2(c3ccccc3)COC(c3cn[nH]c3)CC2CS1,0,1705
3343,Cc1c2CCCN3CC[C@H](CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15)C3,O=C1CCCc2c1cc1n2-c2cccc(c2)NCC2CCN(CCC1)C2,1,4036
