,Canonical_smiles,Murcko,ClassD,No
4607,O=C1OCc2cc(CCN3CCN(CCc4ccc(C#N)c(OC5CC5)c4)CC3)ccc12,O=C1OCc2cc(CCN3CCN(CCc4cccc(OC5CC5)c4)CC3)ccc21,1,2366
7457,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c4ccc(cc4)C(F)(F)F)C2)nnc1c5ccc(cc5)C(=O)N,c1ccc(-c2nnc(SCCCN3CCC4(CC4c4ccccc4)C3)[nH]2)cc1,1,4709
6103,CN1C(=O)C=C(N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c4cnn(C)c4Cl)c5cccnc15,O=C(c1cn[nH]c1)N1C2CCC1CC(Nc1cc(=O)[nH]c3ncccc13)C2,0,5794
7130,Cn1c(SCCCN2CC3CCN(C3C2)c4c(F)cc(F)cc4F)nnc1c5cnccn5,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnccn5)[nH]4)CC32)cc1,1,4779
6246,OC1(CNCC(=O)N2CCc3ccccc3C2C4CCCCC4)CCCC1,O=C(CNCC1CCCC1)N1CCc2ccccc2C1C1CCCCC1,0,6140
4569,[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)[N+](=O)[O-])CC2)cc1,c1ccc(CCN2CCN(CCc3ccccc3)CC2)cc1,1,2794
2773,OCCNC(=O)c1ccccc1Oc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3,O=S(=O)(Nc1cccnc1Oc1ccccc1)c1ccccc1,0,6397
4498,O=S1(=O)CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,O=S1(=O)CCC(C2NC(c3nc(-c4ccccc4)c[nH]3)Cc3c2[nH]c2ccccc32)CC1,1,5739
2972,CC(N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccccc4C,c1ccc(CN2C3CCC2CC(Oc2ccccc2)C3)cc1,1,7980
2647,OC(C(N1CCOCC1)c2ccccc2)(c3cccnc3)c4cccnc4,c1ccc(C(C(c2cccnc2)c2cccnc2)N2CCOCC2)cc1,0,8131
7646,O=C(Cc1ccc(nc1)n2cnnn2)N3CCN4C[C@@H](OC[C@H]4C3)c5ccc6C(=O)OCCc6c5,O=C1OCCc2cc(C3CN4CCN(C(=O)Cc5ccc(-n6cnnn6)nc5)CC4CO3)ccc21,0,746
6446,Fc1cnc2ccc(nc2c1CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)N7CCOCC7,O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(N7CCOCC7)nc56)(CC3)OC4)nc2N1,1,5965
2698,CC(=O)N1CCC(CC1)c2[nH]nc(c3ccc(F)cc3)c2c4ccncc4,c1ccc(-c2n[nH]c(C3CCNCC3)c2-c2ccncc2)cc1,1,6312
3950,COc1cccc(c1)C(=O)CN2C(=O)N(C)c3c(C#N)c(N4CCC[C@H](N)C4)n(Cc5ccccc5)c3C2=O,O=C(Cn1c(=O)[nH]c2cc(N3CCCCC3)n(Cc3ccccc3)c2c1=O)c1ccccc1,1,5675
5509,CCCN1C(=O)CC2(CCN(CC3CCN(CC3)C(=O)OCC)CC2)c4cccnc14,O=C1CC2(CCN(CC3CCNCC3)CC2)c2cccnc2N1,1,6434
6481,CCc1cc2OCC(=O)Nc2nc1CNC34CCC(C[C@]5(O)CN6C(=O)C=Cc7ncc(F)c5c67)(CC3)OC4,O=C1COc2ccc(CNC34CCC(CC5Cn6c(=O)ccc7nccc5c76)(CC3)OC4)nc2N1,0,2733
481,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C,c1ccc2c(c1)CCC(CCNCCCc1nc3ccccc3[nH]1)C2,1,7319
7821,Cl.Cl.CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)C(C)C)CC2)c3ncccc3c1,c1cnc2c(OC3CCNCC3)cccc2c1,1,4237
2,C[S+]([O-])c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,c1ccc(-c2nc(-c3ccccc3)c(-c3ccncc3)[nH]2)cc1,0,7050
428,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc3ccc(OC)cc13,c1ccc2nc3ccccc3cc2c1,0,7790
1094,O=C1[C@H](CCN1Cc2ccccc2)N(Cc3cccnc3)Cc4cncn4Cc5ccc(cc5)C#N,O=C1C(N(Cc2cccnc2)Cc2cncn2Cc2ccccc2)CCN1Cc1ccccc1,1,5568
2682,C[C@@H](c1ncccc1F)c2c(CCN(C)C)sc3ccccc23,c1ccc(Cc2csc3ccccc23)nc1,1,495
7674,CC(C)c1ccc(C)c(NC(=O)Cn2c(Cc3c(Cl)cccc3Cl)nc4ccccc24)c1,O=C(Cn1c(Cc2ccccc2)nc2ccccc21)Nc1ccccc1,0,5813
7989,NC(=O)c1cn(nc1Nc2ccc(cc2)C3CC3)[C@H]4COCC[C@@H]4C#N,c1cc(C2CC2)ccc1Nc1ccn(C2CCCOC2)n1,0,1753
2183,CC1(C)[C@@H]2CC[C@]13CCN(CCN4CCN(C4=O)c5cccc(Cl)c5)C3C2,O=C1N(CCN2CCC34CCC(CC23)C4)CCN1c1ccccc1,1,7271
1679,FC(F)(F)c1ccc(cc1)C2=CC3(CCNCC3)Oc4ccccc24,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,1,5763
5946,C[C@H](CO)OC[C@H](Oc1ncnc2c1cnn2c3ncccc3Cl)C(=O)Nc4ccc(cn4)C#N,O=C(COc1ncnc2c1cnn2-c1ccccn1)Nc1ccccn1,0,3148
1533,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(nc1OCC4CCN(CC4)C(C)C)C#N,c1nc(NCC2CCC3(CCC3)CC2)cc(OCC2CCNCC2)n1,1,1449
224,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,O=c1ncccn1C1CCCO1,0,4985
2493,CN1c2nc(c(cc2C(CC1(C)C)C(=O)NCO)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl,c1ccc(-c2cc3c(nc2-c2ccccc2)NCCC3)cc1,1,191
6628,COc1cccc2c1nc(N)n3nc(CN4CCN(C[C@H]4C)c5sc(C)nc5C)nc23,c1ccc2c(c1)ncn1nc(CN3CCN(c4cncs4)CC3)nc21,0,6395
531,Oc1c(I)cc(I)c2cccnc12,c1ccc2ncccc2c1,0,2113
