,Canonical_smiles,Murcko,ClassA,No
659,CN1CCN(Cc2ccc3cc(ccc3n2)N4C=Nc5cc(sc5C4=O)c6ccc(Cl)cc6)CC1,O=c1c2sc(-c3ccccc3)cc2ncn1-c1ccc2nc(CN3CCNCC3)ccc2c1,0,3932
5332,CN1CCC(COCc2cc(cc(n2)C3CC3)C(F)(F)F)(CC1)c4ccc(F)cc4,c1ccc(C2(COCc3cccc(C4CC4)n3)CCNCC2)cc1,0,62
6475,CCOC(=O)c1c(OC)cnc2c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)ccnc12,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,3299
758,CCOc1cc(CN2CCC(CC2)Nc3oc4ccccc4n3)ccc1OC,c1ccc(CN2CCC(Nc3nc4ccccc4o3)CC2)cc1,1,3697
7191,Cn1c(SCCCN2CC3CCN(C3C2)c4ccc(cc4)C(F)(F)F)nnc1c5ccccn5,c1ccc(N2CCC3CN(CCCSc4nnc(-c5ccccn5)[nH]4)CC32)cc1,1,1752
3029,CN(C)CCn1ncc2cc(ccc12)N3C=CC(=CC3=O)OCc4ccccc4,O=c1cc(OCc2ccccc2)ccn1-c1ccc2[nH]ncc2c1,0,2855
3026,CC(C)[C@@H](Nc1nc2C=CNC(=O)c2c3cnccc13)C(F)(F)F,O=c1[nH]ccc2ncc3ccncc3c12,0,7859
2846,CCS(=O)(=O)N1C[C@@H]([C@H](C1)C(=O)Nc2ccc(cc2F)N3C=CC=CC3=O)C(=O)Nc4ccc(Cl)cn4,O=C(Nc1ccc(-n2ccccc2=O)cc1)C1CNCC1C(=O)Nc1ccccn1,0,6679
7222,CC(=O)O[C@@H](C(=O)N1N=CC[C@H]1C(=O)NCc2cc(Cl)ccc2n3cnnn3)c4ccc(F)cc4,O=C(NCc1ccccc1-n1cnnn1)C1CC=NN1C(=O)Cc1ccccc1,0,135
8192,C[C@]1(N)CC[C@@H](Nc2c(cnn3cc(cc23)c4ccccc4)C(=O)N)C1(C)C,c1ccc(-c2cc3c(NC4CCCC4)ccnn3c2)cc1,1,2695
7214,C1CC(CCO1)C2NC(Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)C67CC8CC(CC(C8)C6)C7,c1ccc2c3c([nH]c2c1)C(C1CCOCC1)NC(c1nc(C24CC5CC(CC(C5)C2)C4)c[nH]1)C3,1,3636
5210,C[n+]1c(cccc1C#CCOc2ccccc2)C#CCOc3ccccc3,C(#Cc1cccc(C#CCOc2ccccc2)[nH+]1)COc1ccccc1,0,2168
5462,Cc1cc(Oc2cncnc2)cc(n1)C(=O)Nc3ccc(F)cn3,O=C(Nc1ccccn1)c1cc(Oc2cncnc2)ccn1,0,1207
6204,OC(C1CCN(Cc2ccc(cc2)c3ccccc3)CC1)(c4ccccc4)c5ccccc5,c1ccc(-c2ccc(CN3CCC(C(c4ccccc4)c4ccccc4)CC3)cc2)cc1,1,174
6741,O=C1COc2ccc(CNC3CCN(CCN4C(=O)C=Cc5ncc(O[C@H]6CCOC6)cc45)CC3)nc2N1,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ncc(OC6CCOC6)cc54)CC3)nc2N1,0,7891
711,[Cl-].CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,c1ccc(C[NH2+]CCOCCOc2ccccc2)cc1,1,6424
2499,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5cccnc5,c1cncc(-c2ncc(-c3ccc4cc(CCN5CCCC5)ccc4n3)s2)c1,0,2166
4436,O=C1CCc2ccccc2N1CCCN3CCC(CC3)c4ccc5[nH]ccc5c4,O=C1CCc2ccccc2N1CCCN1CCC(c2ccc3[nH]ccc3c2)CC1,0,4025
7654,Cc1ncoc1c2nnc(SCCCN3CC[C@@]4(C[C@@H]4c5ccc(cc5)C(F)(F)F)C3)n2C,c1ccc(C2CC23CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,3614
1311,Fc1ccccc1C(=O)N2CCC(Cc3ccccc3)CC2,O=C(c1ccccc1)N1CCC(Cc2ccccc2)CC1,0,5673
4247,CNC(=O)CC[C@@H](CO)N(C)C(=O)c1ccc2c(c1)c3C[C@@H](CCc3n2C)C4CCOCC4,c1ccc2c3c([nH]c2c1)CCC(C1CCOCC1)C3,0,8276
1312,C[C@@H]([C@H](N)C(=O)N1CCCC1)c2onc(n2)c3ccc(cc3Cl)S(=O)(=O)C.OC(=O)C(F)(F)F,O=C(CCc1nc(-c2ccccc2)no1)N1CCCC1,0,4918
1018,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5nc6ccc(cn6c5CC4)C(F)(F)F)n3C,c1cc(-c2nnc(SCCCN3CCc4nc5ccccn5c4CC3)[nH]2)c2cccnc2c1,0,7496
1622,FC(F)(F)c1ccc(cc1)[C@@H]2C[C@H]2C(=O)N3CCN(CC3)S(=O)(=O)c4cc(cc(c4)C(F)(F)F)c5ccn[nH]5,O=C(C1CC1c1ccccc1)N1CCN(S(=O)(=O)c2cccc(-c3ccn[nH]3)c2)CC1,1,5919
8135,CCOC(=O)C1=C(CN2CCOC[C@H]2C(=O)O)NC(=NC1c3ccc(F)cc3Cl)c4nccs4,C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1,0,3566
2233,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N4CCOCC4,O=S(=O)(c1ccc(-c2ccc(CCN3CCCC3)cc2)cc1)N1CCOCC1,0,6812
7820,Nc1nccn2c(nc(c3ccc(cc3F)C(=O)Nc4cc(ccn4)C(F)(F)F)c12)[C@H]5CN(CCO5)C6CCOCC6,O=C(Nc1ccccn1)c1ccc(-c2nc(C3CN(C4CCOCC4)CCO3)n3ccncc23)cc1,0,3285
4339,Cc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(C3)C4CC4)CC2)cc1Cl,O=C(Nc1ccccc1)N1CCN(CC2CCCN(C3CC3)C2)CC1,0,8019
7283,Nc1ncnc2c1c(cn2[C@@H]3C[C@H](CN4CCC4)C3)c5cccc(O)c5,c1ccc(-c2cn(C3CC(CN4CCC4)C3)c3ncncc23)cc1,1,4953
4584,N#Cc1ccc(CCN2CCN(CCc3ccc4nonc4c3)CC2)cc1,c1ccc(CCN2CCN(CCc3ccc4nonc4c3)CC2)cc1,1,5118
2479,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(F)c(c5)C(F)(F)F)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,8236
1347,CNCc1ccc(Cl)cc1Oc2ccc(C)cc2,c1ccc(Oc2ccccc2)cc1,0,5985
1036,Cc1ncoc1c2nnc(SCCCN3CCc4nc5cc(ccn5c4CC3)C(F)(F)F)n2C,c1ccn2c3c(nc2c1)CCN(CCCSc1nnc(-c2cnco2)[nH]1)CC3,1,875
8090,Clc1ccc(CN2C(=O)n3ncnc3c4c5CCN(CC6CC6)Cc5sc24)cc1,O=c1n(Cc2ccccc2)c2sc3c(c2c2ncnn12)CCN(CC1CC1)C3,1,7794
744,CS(=O)(=O)Nc1ccc(CCN(CCOc2ccc(NS(=O)(=O)C)cc2)c3ccc(c4nonc34)[N+](=O)[O-])cc1,c1ccc(CCN(CCOc2ccccc2)c2cccc3nonc23)cc1,1,4507
163,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ncc(C)s3,O=C(Nc1nccs1)C1=Cc2ccccc2S(=O)(=O)N1,0,3849
