,Canonical_smiles,Murcko,ClassI,No
3835,C[C@@H]1[C@H]2CN(CCCC3CCOCC3)CC[C@@H]2Cc4[nH]c5ccc(cc5c14)C(F)(F)F,c1ccc2c3c([nH]c2c1)CC1CCN(CCCC2CCOCC2)CC1C3,1,423
1481,CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccccc2C(=O)c3ccccc3,O=C(c1ccccc1)c1ccccc1NS(=O)(=O)c1ccccc1,1,424
8183,CCOC(=O)C1=C(CN2CCOC[C@H]2C(=O)O)NC(=N[C@H]1c3ccc(Cl)cc3Cl)c4nccs4,C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1,0,425
2856,CCCCc1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)[C@]34CNC[C@H]3C4,O=S(=O)(Nc1ccc(C23CNCC2C3)cc1)c1ccccc1,1,426
7964,CC1(COC1)C(=O)N2CCO[C@H](C2)c3nc(c4ccc(cc4)C(=O)Nc5cc(ccn5)C(F)(F)F)c6c(N)nccn36,O=C(Nc1ccccn1)c1ccc(-c2nc(C3CN(C(=O)C4COC4)CCO3)n3ccncc23)cc1,0,427
7691,Cc1ncoc1c2nnc(SCCN3CC[C@]4(C[C@H]4c5ccc(cc5)C(F)(F)F)C3)n2C,c1ccc(C2CC23CCN(CCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,428
4220,O[C@@]1(CC[C@H](CC1)N[C@H]2CCN(C2)C(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c4ccccn4,O=C(NCC(=O)N1CCC(NC2CCC(c3ccccn3)CC2)C1)c1ccccc1,0,429
6242,COc1ccccc1CCNCC(=O)N2CCc3ccccc3C2C4CCCCC4,O=C(CNCCc1ccccc1)N1CCc2ccccc2C1C1CCCCC1,1,430
7090,O[C@@H]([C@H]1CC[C@@H](Cc2ccc(NC(=O)[C@@H]3CCC4=CC=CC(=O)N34)cc2)N1)c5ccccc5,O=C(Nc1ccc(CC2CCC(Cc3ccccc3)N2)cc1)C1CCc2cccc(=O)n21,0,431
2694,CC(C)N(C)[C@@H]1CC[C@@H]([C@H](CS(=O)(=O)c2ccc(C)cc2)C1)N3CC[C@H](NC(=O)c4cccc(c4)C(F)(F)F)C3=O,O=C(NC1CCN(C2CCCCC2CS(=O)(=O)c2ccccc2)C1=O)c1ccccc1,1,432
6436,COc1ccc2ncc(C)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,433
7511,Cc1cccc2CCCN(C(=O)CSc3ccc(cn3)C(F)(F)F)c12,O=C(CSc1ccccn1)N1CCCc2ccccc21,0,434
7037,CO[C@@H](Cc1c(F)cnc2ccc(OC)nc12)C34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,435
5828,Cl.Cl.Cl.Cl.CCCn1c(C)c(cc1c2ccccn2)C(=O)NCCCN3CCN(CC3)c4cccc(Cl)c4Cl,O=C(NCCCN1CCN(c2ccccc2)CC1)c1c[nH]c(-c2ccccn2)c1,1,436
3522,CC(C)(NC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1CO)c3ccc(Cl)cc3)c4noc(n4)C(F)(F)F,O=C(NCc1ncon1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,0,437
4191,NS(=O)(=O)c1ccc(OCCN2CCCC2)cc1,c1ccc(OCCN2CCCC2)cc1,0,438
1603,C(c1ccccc1)C2(CCNC2)c3ccc4sccc4c3,c1ccc(CC2(c3ccc4sccc4c3)CCNC2)cc1,0,439
6989,NC1=NC2(CO1)c3cc(ccc3OC4(CCC4)C25COC5)c6cncc(c6)C(F)F,C1=NC2(CO1)c1cc(-c3cccnc3)ccc1OC1(CCC1)C21COC1,1,440
7029,FC(F)(F)c1cccc(NC(=O)n2ccc3cc(Oc4ncnc5CNCc45)ccc23)c1,O=C(Nc1ccccc1)n1ccc2cc(Oc3ncnc4c3CNC4)ccc21,0,441
1272,CCCCN(CCCC)CC(O)c1cc(Cl)cc2\C(=C\c3ccc(Cl)cc3)\c4cc(Cl)ccc4c12,C(=C1c2ccccc2-c2ccccc21)c1ccccc1,1,442
3587,Fc1ccc(OC2CNC(C2)C(=O)N3CCCN(CC3)C4CCCC4)cc1,O=C(C1CC(Oc2ccccc2)CN1)N1CCCN(C2CCCC2)CC1,1,443
2399,C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CCC3=C2)C6=COC(=O)C=C6)[C@H](O)[C@H](O)[C@H]1O,O=c1ccc(C2CCC3C2CCC2C4CCC(OC5CCCCO5)C=C4CCC23)co1,0,444
6128,CNc1ccc(\C=C\c2c(F)cccc2Cl)cc1,C(=Cc1ccccc1)c1ccccc1,0,445
6943,NC1=NC2(CO1)c3cc(ccc3OCC24CC4)c5cncc(OCC(F)F)c5,C1=NC2(CO1)c1cc(-c3cccnc3)ccc1OCC21CC1,1,446
2819,CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nnnn3C,O=C1CC2SCC(CSc3nnn[nH]3)=CN12,0,447
3240,COc1ccc(cc1)[C@H]2CN(CCCC3CCOCC3)C[C@@H]2CNC(=O)c4cccc(Cl)c4,O=C(NCC1CN(CCCC2CCOCC2)CC1c1ccccc1)c1ccccc1,1,448
3648,C[C@H](N1CC[C@@](CCO)(OC1=O)c2ccc(F)cc2)c3ccc(cc3)c4ccc(F)cc4F,O=C1OC(c2ccccc2)CCN1Cc1ccc(-c2ccccc2)cc1,1,449
429,CN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C(c3ccccc3)c4ccccc14,O=C(Nc1ccccc1)NC1N=C(c2ccccc2)c2ccccc2NC1=O,1,450
2815,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)C,O=C1C=C2C=CC3C4CCCC4CCC3C2CC1,0,451
6822,N\C\1=N/C(=O)[C@@H]2CCCN2c3ccc(OCCCCCCNCC(=O)Nc4c(Cl)cc(CN1)cc4Cl)cc3,O=C1CNCCCCCCOc2ccc(cc2)N2CCCC2C(=O)N=CNCc2ccc(cc2)N1,0,452
7203,Cn1c(SCCCN2CC3CCN(C3C2)c4ccc(cc4)C(F)(F)F)nnc1C5=CNC(=O)C=C5,O=c1ccc(-c2nnc(SCCCN3CC4CCN(c5ccccc5)C4C3)[nH]2)c[nH]1,1,453
8256,COc1nc(ccc1n2cnc(C)c2)C3=NOC[C@@H](N3)c4oc5ccccc5c4,c1ccc2oc(C3CON=C(c4ccc(-n5ccnc5)cn4)N3)cc2c1,0,454
6403,ONC(=O)C1(CCC2(CCNCC2)C1)S(=O)(=O)c3ccc(Oc4ccc(OC(F)(F)F)cc4)cc3,O=S(=O)(c1ccc(Oc2ccccc2)cc1)C1CCC2(CCNCC2)C1,0,455
2806,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(=O)C)C#C)[C@@H]3CCC2=C1,C1=C2CCC3C4CCCC4CCC3C2CCC1,0,456
3030,O=C1C=C(OCc2ccccc2)C=CN1c3ccc4c(cnn4CCN5CCCC5)c3,O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(cnn2CCN2CCCC2)c1,1,457
4899,Cl.Cn1cc2c(OCC3CCN(CCN4CCOCC4)CC3)nc5ccccc5c2c1,c1ccc2c(c1)nc(OCC1CCN(CCN3CCOCC3)CC1)c1c[nH]cc12,1,458
1831,CC(C)NC(=O)C1=CN(c2cccc(c2)c3ccc(cc3)C(=O)C)c4ncccc4C1=O,O=c1ccn(-c2cccc(-c3ccccc3)c2)c2ncccc12,1,459
6702,OCCCCCOc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,460
6538,C[C@@H](COc1ccc(F)cc1[C@@H](C)C(F)(F)F)N2CCN3C(=O)C(=CC=C3C2=O)n4cnc(C)c4,O=C1c2ccc(-n3ccnc3)c(=O)n2CCN1CCOc1ccccc1,1,461
3468,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCNC(=O)C5,O=C1CN(c2ccc(Nc3nccc(-c4cnc5ccccn45)n3)cc2)CCN1,0,462
577,COP(=O)(OC)OC=C(Cl)Cl,,0,463
2686,C[C@H](C1=C(CCN(C)C)Cc2ccccc12)c3nccs3,C1=C(Cc2nccs2)c2ccccc2C1,1,464
1172,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,0,465
1849,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6[nH]ncc56)CC1,c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCNCC4)cc3n2)c2cn[nH]c2c1,0,466
2674,Brc1ccc(cc1)N(C2CCN(Cc3ccncc3)CC2)C(=O)NCc4ccccc4,O=C(NCc1ccccc1)N(c1ccccc1)C1CCN(Cc2ccncc2)CC1,1,467
5654,Fc1ccc(nc1)C(NC(=O)[C@@H]2CC[C@H](C[C@H]2c3ccc(Br)cc3)N4CCOCC4)c5ccc(Cl)cc5,O=C(NC(c1ccccc1)c1ccccn1)C1CCC(N2CCOCC2)CC1c1ccccc1,1,468
3407,CC(C)(N)C(=O)N1CCn2c(C1)nc(c3cccc(F)c3)c2Nc4ccc(F)cc4,c1ccc(Nc2c(-c3ccccc3)nc3n2CCNC3)cc1,1,469
5806,Cc1nc2[C@@H](CCc2s1)C(=O)Nc3ccc(C[C@@H]4CC[C@@H](N4)[C@H](O)c5cccnc5)cc3,O=C(Nc1ccc(CC2CCC(Cc3cccnc3)N2)cc1)C1CCc2scnc21,0,470
6444,Nc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,471
1195,Cc1onc(c1)c2ccc3CCN(CCCSc4nnc(c5ccc(C)cc5)n4C)CCc3c2,c1ccc(-c2nnc(SCCCN3CCc4ccc(-c5ccon5)cc4CC3)[nH]2)cc1,1,472
5530,COc1cc2nnc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCC(CC4)N(C)C,c1ccc(Nc2cnnc3ccc(N4CCCCC4)cc23)cc1,0,473
8312,CC[C@@H](NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)n3CCOCc13)c4ccc(nc4)C(F)(F)F,O=C(NCc1cccnc1)c1cc(C(=O)NCc2ccccc2)n2c1COCC2,1,474
5242,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(c4ccccc4)c5ccc(Cl)cc5,O=C(NC(c1ccccc1)c1ccccc1)C1CCN(c2ncnc3[nH]ccc23)CC1,1,475
6296,CS(=O)(=O)Nc1ccc(c(F)c1)c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2,c1ccc(-c2ccc3[nH]nc(-c4cncc(OC5CNCCC56CC6)n4)c3c2)cc1,1,476
3064,CC(C)S(=O)(=O)N[C@H]1CN(C[C@@H]1c2ccc(cc2)c3cccc(NS(=O)(=O)C)c3)c4ccccc4,c1ccc(-c2ccc(C3CCN(c4ccccc4)C3)cc2)cc1,1,477
4704,Cc1c(Cl)c(ccc1OC2CCN(CC3CCN(CC3)[C@@H](Cc4ccc(F)cc4)C(=O)O)CC2)C#N,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,0,478
3570,CCNC1(CNC(=O)N2CCC(CC2)c3onc(n3)c4ccc5ccccc5n4)CCCC1,O=C(NCC1CCCC1)N1CCC(c2nc(-c3ccc4ccccc4n3)no2)CC1,0,479
2273,C[C@@H]1CN(CCN1C(=O)C(=O)c2c[nH]c3ccccc23)C(=O)c4ccccc4,O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2ccccc12,0,480
6257,C[C@@H]1CN(CCN1c2ncc(OCc3ccc(cc3F)n4cnnn4)cn2)c5oc(nn5)C(F)(F)F,c1nnc(N2CCN(c3ncc(OCc4ccc(-n5cnnn5)cc4)cn3)CC2)o1,1,481
4923,COc1cccc(c1)c2cccc(c2)C3(N=C(C)C(=N3)N)C4CCOCC4,C1=NC(c2cccc(-c3ccccc3)c2)(C2CCOCC2)N=C1,0,482
65,NC1=NC(=O)N(C=C1)[C@@H]2CS[C@H](CO)O2,O=c1ncccn1C1CSCO1,0,483
5137,Oc1ccc(nc1)[C@@H]2CC[C@@H](CC2)N3CC(C3)NC(=O)CNc4ncnc5ccc(cc45)C(F)(F)F,O=C(CNc1ncnc2ccccc12)NC1CN(C2CCC(c3ccccn3)CC2)C1,0,484
7380,CCN1CCC(CC1)S(=O)(=O)c2c(Cl)ccc(NC(=O)Nc3cccc(F)c3Cl)c2O,O=C(Nc1ccccc1)Nc1cccc(S(=O)(=O)C2CCNCC2)c1,0,485
3741,CN([C@@H]1CCN(C1)C2CCC2)C(=O)c3ccc(cc3)n4c(C)nc5ccccc45,O=C(NC1CCN(C2CCC2)C1)c1ccc(-n2cnc3ccccc32)cc1,0,486
3511,CN1C[C@@H]2CCCC[C@@]2(C1)c3ccc(Cl)c(Cl)c3,c1ccc(C23CCCCC2CNC3)cc1,1,487
1770,CNC(=O)c1ccc(Nc2nccc(n2)c3cnc(C)n3C(C)C)cc1,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1,0,488
2453,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(c(F)c5)C(F)(F)F)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,489
6907,Cc1cc2nc(\C=C\c3ccccc3)n(Cc4ccc(Cl)cc4)c2cc1C,C(=Cc1nc2ccccc2n1Cc1ccccc1)c1ccccc1,1,490
5200,CCCCCCC#Cc1cccc(C#CCCCCCC)[n+]1C,c1cc[nH+]cc1,1,491
3646,FC(F)(F)c1cccc(c1)C(=O)NCC(=O)NC2CN(C2)[C@@H]3CC[C@](F)(CC3)c4ccccc4,O=C(CNC(=O)c1ccccc1)NC1CN(C2CCC(c3ccccc3)CC2)C1,1,492
5330,C\C=C\c1cc(cc(COCC2(CCN(C)CC2)c3ccc(F)cc3)n1)C(F)(F)F,c1ccc(C2(COCc3ccccn3)CCNCC2)cc1,0,493
967,CC(C)[C@@]1(CC[C@H](C1)N2CCC(CC2)c3cccc(F)c3)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,O=C(NCc1ccccc1)C1CCC(N2CCC(c3ccccc3)CC2)C1,1,494
2682,C[C@@H](c1ncccc1F)c2c(CCN(C)C)sc3ccccc23,c1ccc(Cc2csc3ccccc23)nc1,1,495
2016,Fc1ccc(cc1C#N)N2CCN(CCN3CCC(CC3)C(F)(F)F)C2=O,O=C1N(CCN2CCCCC2)CCN1c1ccccc1,1,496
90,NC(=N)N\N=C\c1c(Cl)cccc1Cl,c1ccccc1,0,497
5002,COCC[C@H](Oc1ncnc2c1cnn2c3ccccc3Cl)C(=O)Nc4ccc(C)cn4,O=C(COc1ncnc2c1cnn2-c1ccccc1)Nc1ccccn1,0,498
2506,CC(C)Oc1ccccc1CC(N2CCNCC2)c3ccccc3,c1ccc(CC(c2ccccc2)N2CCNCC2)cc1,1,499
7881,Nc1cccc(n1)C(Cc2cccnc2c3cc(Cl)cc(Cl)c3)c4cccnc4,c1ccc(-c2ncccc2CC(c2cccnc2)c2ccccn2)cc1,0,500
8119,Nc1cccc(n1)C(Cc2cccnc2c3cccc(c3)C(F)(F)F)c4cccnc4,c1ccc(-c2ncccc2CC(c2cccnc2)c2ccccn2)cc1,0,501
719,CCCC#Cc1cc(cs1)c2n[nH]c3c2Cc4cc(CN5CCN(C)CC5)ccc34,c1cc(-c2n[nH]c3c2Cc2cc(CN4CCNCC4)ccc2-3)cs1,1,502
1686,CS(=O)(=O)Nc1ccc(OC[C@@H](O)CN(CCc2ccc(Cl)c(Cl)c2)Cc3ccc(F)c(F)c3F)cc1,c1ccc(CCN(CCCOc2ccccc2)Cc2ccccc2)cc1,1,503
3446,ONC(=O)\C=C\c1ccc2CN(Cc2c1)S(=O)(=O)Cc3ccccc3,O=S(=O)(Cc1ccccc1)N1Cc2ccccc2C1,0,504
8067,Cc1cnccc1c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(cnn3c2)C(=O)N,c1cc(-c2cc3c(NC4CCCC4)ccnn3c2)ccn1,0,505
1637,CNCc1ccc(cc1Oc2ccc(Cl)c(Cl)c2)C(F)(F)F,c1ccc(Oc2ccccc2)cc1,1,506
4631,COc1ccc(CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)c(c1)c3cnc(OC)nc3,O=C(NCCc1ccccc1-c1cncnc1)c1cccnc1,1,507
3730,Cn1cc(cn1)c2ccc3c(c2)[nH]c4c(cnc(NC(C5CC5)C6CC6)c34)C(=O)N,c1cc2[nH]c3cc(-c4cn[nH]c4)ccc3c2c(NC(C2CC2)C2CC2)n1,1,508
3831,COc1ccc2N=NC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,O=C1COc2ccc(CNC3CCN(CCn4c(=O)nnc5ccccc54)CC3)nc2N1,0,509
4937,COc1ccc(cn1)c2cc(cnc2N)c3ccc(cc3)C(=O)N4CCN(C)CC4,O=C(c1ccc(-c2cncc(-c3cccnc3)c2)cc1)N1CCNCC1,0,510
3015,O=C1C=C(OCc2ccccc2)C=CN1c3ccc4c(cnn4CC5=NCCN5)c3,O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(cnn2CC2=NCCN2)c1,1,511
7981,CC(C)CN(CCc1ccc(Cl)cc1)C2CCN(CC2)c3nc(N)n[nH]3,c1ccc(CCNC2CCN(c3ncn[nH]3)CC2)cc1,1,512
6452,Fc1cnc2cc(cnc2c1CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)C(F)(F)F,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,513
503,OC(=O)Cc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25,O=C1NCCN1CCN1CCC(c2cn(-c3ccccc3)c3ccccc23)CC1,1,514
3501,CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCc4ccccc4C3)c1,c1ccc(Nc2ncnc(N3CCc4ccccc4C3)n2)cc1,1,515
5445,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C[C@@H]3C(=O)O)C4CC(C4)c5ccccc5F)c2c1,c1ccc(C2CC(N3CCC(CCCc4ccnc5ccccc45)CC3)C2)cc1,0,516
3049,Fc1cccc(n1)N2C[C@@]3(CC[C@@H](CC3)c4nc5cc(OC(F)(F)F)ccc5[nH]4)OC2=O,O=C1OC2(CCC(c3nc4ccccc4[nH]3)CC2)CN1c1ccccn1,1,517
3799,[Br-].CC[N+]1(CCOC(=O)C(O)(c2ccccc2)c3ccccc3)CCCCC1,O=C(OCC[NH+]1CCCCC1)C(c1ccccc1)c1ccccc1,0,518
5783,O=C(C1CC2(CCN(CC2)C3CCOCC3)C1)N4CCN5CCCCC5C4,O=C(C1CC2(CCN(C3CCOCC3)CC2)C1)N1CCN2CCCCC2C1,0,519
4364,Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)c5cnc(O)nc5)c6cc(O)ncn6,O=C1N(c2ccc(-c3cncnc3)cc2)C(=O)C2(CCN(Cc3ccccn3)CC2)N1c1ccncn1,0,520
7609,OC(=O)COC[C@@H]1CC[C@@H](COC(=O)N(c2ccccc2)c3cccc(F)c3)CC1,O=C(OCC1CCCCC1)N(c1ccccc1)c1ccccc1,0,521
1787,Cc1c(CNC2CCCC2)nn(c3ccc(Cl)cc3Cl)c1c4ccc(Cl)cc4,c1ccc(-c2cc(CNC3CCCC3)nn2-c2ccccc2)cc1,1,522
5079,O=P(N(Cc1ccccn1)c2cccnc2)(c3ccccc3)c4ccccc4,O=P(c1ccccc1)(c1ccccc1)N(Cc1ccccn1)c1cccnc1,0,523
7250,CCCNC(=O)C1N(CC(C)c2ccc(Cl)cc2)C(=O)c3ccccc13,O=C1c2ccccc2CN1CCc1ccccc1,0,524
7513,Fc1cccc(CCN2CC3CN(CCCNS(=O)(=O)c4ccc(cc4)C#N)CC(C2)O3)c1,O=S(=O)(NCCCN1CC2CN(CCc3ccccc3)CC(C1)O2)c1ccccc1,0,525
1629,CC1=C(CC(=O)O)c2cc(F)ccc2/C/1=C\c3ccc(cc3)S(=O)(=O)C,C1=Cc2ccccc2C1=Cc1ccccc1,0,526
6398,C(CN1CCOCC1)Nc2cn(nn2)C34CC5CC(CC(C5)C3)C4,c1c(NCCN2CCOCC2)nnn1C12CC3CC(CC(C3)C1)C2,1,527
5763,O=C1NN=C([C@H]2C[C@@H]12)c3ccc(OC4CCN(CC4)C5CCC5)cc3,O=C1NN=C(c2ccc(OC3CCN(C4CCC4)CC3)cc2)C2CC12,0,528
8018,COc1ccc2ncc(F)c([C@@H](O)CC[C@@H]3CCN(C[C@@H]3C(=O)O)C4CC(C4)c5cccc(F)c5F)c2c1,c1ccc(C2CC(N3CCC(CCCc4ccnc5ccccc45)CC3)C2)cc1,0,529
7833,COc1ccc2ncc(F)c(C[C@H](N)[C@@H]3CC[C@H](CO3)NCc4ccc5OCC(=O)Nc5n4)c2n1,O=C1COc2ccc(CNC3CCC(CCc4ccnc5cccnc45)OC3)nc2N1,1,530
5698,CCCCN(CC)C\C=C\Cc1ccc(Cl)cc1,c1ccccc1,1,531
1092,NCCCN(Cc1cncn1Cc2ccc(cc2)C#N)[C@H]3CCN(Cc4ccccc4)C3=O,O=C1C(NCc2cncn2Cc2ccccc2)CCN1Cc1ccccc1,1,532
3679,FC(F)(F)c1ccc2onc(NCC(=O)NC3CN(C3)[C@@H]4CC[C@@H](CC4)c5ccc6OCOc6c5)c2c1,O=C(CNc1noc2ccccc12)NC1CN(C2CCC(c3ccc4c(c3)OCO4)CC2)C1,1,534
245,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)\CCC(=O)O,O=C1OCc2ccccc21,0,536
2968,CC(N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccccc4,c1ccc(CN2C3CCC2CC(Oc2ccccc2)C3)cc1,1,537
6432,COc1ccc2nccc(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,539
8130,Clc1ccc(CN2C(=O)n3ncnc3c4c5CCN(CC6CCOCC6)Cc5sc24)cc1,O=c1n(Cc2ccccc2)c2sc3c(c2c2ncnn12)CCN(CC1CCOCC1)C3,1,540
2491,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(Br)cc5)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,541
8132,Cl.CN(C\C=C\c1ccc(C)cc1)Cc2ccc3CCCOc3c2,C(=Cc1ccccc1)CNCc1ccc2c(c1)OCCC2,1,542
2874,NC(=O)c1ccnc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,c1ccc(CN2C3CCC2CC(Oc2ccccn2)C3)cc1,1,543
8191,Cc1cnc(COc2nc(N)nc3ccn(Cc4ccccn4)c23)s1,c1ccc(Cn2ccc3ncnc(OCc4nccs4)c32)nc1,0,544
4135,FC(F)(F)c1ccccc1NC(=O)NS(=O)(=O)c2ccc(OCCCN3CCCCC3)cc2,O=C(Nc1ccccc1)NS(=O)(=O)c1ccc(OCCCN2CCCCC2)cc1,0,545
5531,COCCN1CCN(CC1)c2cc3c(Nc4ccc(C)cc4F)c(nnc3cc2OC)C(=O)N,c1ccc(Nc2cnnc3ccc(N4CCNCC4)cc23)cc1,0,546
2114,CCc1oc(CCc2cc(cc(NCC(F)(F)F)n2)N3CCOCC3)nc1C,c1cc(N2CCOCC2)cc(CCc2ncco2)n1,1,547
2457,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccc(cc6)C(F)(F)F)n3C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cccc5ncccc45)[nH]2)C3)cc1,1,548
6081,Cc1ncc(CNC2CCN(CCN3C(=O)C=Cc4ncc(F)cc34)CC2)cc1C#N,O=c1ccc2ncccc2n1CCN1CCC(NCc2cccnc2)CC1,0,549
4308,COc1cc(cc(OC)c1OC)C(=O)N2CCC(CNC(=O)CCCCC(c3ccc(F)cc3)c4ccc(F)cc4)C2,O=C(CCCCC(c1ccccc1)c1ccccc1)NCC1CCN(C(=O)c2ccccc2)C1,1,550
3198,COc1ccc(CC(=O)NCc2ccccc2c3ccccc3C(=O)NCCc4cccnc4)cc1,O=C(Cc1ccccc1)NCc1ccccc1-c1ccccc1C(=O)NCCc1cccnc1,1,551
4358,Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)n5cccn5)c6cc(O)ncn6,O=C1N(c2ccc(-n3cccn3)cc2)C(=O)C2(CCN(Cc3ccccn3)CC2)N1c1ccncn1,1,552
839,Cc1onc(c1)c2ccc3CCN(CCCSc4nnc(c5cccc(F)c5)n4C)CCc3c2,c1ccc(-c2nnc(SCCCN3CCc4ccc(-c5ccon5)cc4CC3)[nH]2)cc1,1,553
6627,COc1cccc2c1nc(N)n3nc(CN4CCN(C[C@H]4C)c5cnc(C)s5)nc23,c1ccc2c(c1)ncn1nc(CN3CCN(c4cncs4)CC3)nc21,0,554
4121,O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(OCCCCN3CCCC3)cc2,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(OCCCCN2CCCC2)cc1,0,555
7257,Cc1cc(F)ccc1C2CCN(CC3Cc4ccccc4CN3)CC2,c1ccc(C2CCN(CC3Cc4ccccc4CN3)CC2)cc1,1,556
2727,Cc1cc(ccc1F)C(O)(c2ccc3c(cnn3c4ccc(F)cc4)c2)C(F)(F)F,c1ccc(Cc2ccc3c(cnn3-c3ccccc3)c2)cc1,1,557
5558,Cn1cc(c2ccncc2)c(n1)c3ccc(F)cc3,c1ccc(-c2n[nH]cc2-c2ccncc2)cc1,0,558
1377,CC(C)n1c(C)ncc1c2nc(Nc3ccc(C(=O)N(C)C)c(F)c3)ncc2F,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1,1,559
7246,Cc1c(OS(=O)(=O)C)ccc2C(N(Cc3ccccc3c4ccccc4)C(=O)c12)C(=O)NC(C)(C)C,O=C1c2ccccc2CN1Cc1ccccc1-c1ccccc1,0,560
228,CN(C)CCC(c1ccc(Br)cc1)c2ccccn2,c1ccc(Cc2ccccn2)cc1,1,561
4561,Cl.CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc3cccc(Cl)c3C#N,c1ccc(OCCCNCCc2ccc3ccccc3c2)cc1,1,562
