,Canonical_smiles,Murcko,ClassI,No
4025,Cl.CC(=O)NCCc1ccccc1c2ccc([C@@H](CN)Cc3ccc(OCCOc4c(Cl)cc(C)cc4Cl)cc3)c(C)c2,c1ccc(OCCOc2ccc(CCc3ccc(-c4ccccc4)cc3)cc2)cc1,1,3807
6006,CC(C)c1nc(Nc2cc(NCCN)nnc2C(=O)N)ccc1F,c1ccc(Nc2ccnnc2)nc1,1,3808
1334,CNC(C)c1cc(F)ccc1Oc2ccc(Cl)cc2,c1ccc(Oc2ccccc2)cc1,1,3809
8266,Oc1ccc(N2CCCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c5C=CC(=O)Nc15,O=C1CCc2ccc(OCCCCN3CCCN(c4cccc5[nH]c(=O)ccc45)CC3)cc2N1,0,3810
4016,CC(=O)NCCc1ccccc1c2ccc([C@H]3CNCC[C@@]34OCc5cc(F)c(F)cc45)c(C)c2,c1ccc(-c2ccc(C3CNCCC34OCc3ccccc34)cc2)cc1,1,3811
7175,FC(F)(F)Oc1ccc(cc1)c2c[nH]c(n2)[C@H]3Cc4c([nH]c5ccccc45)[C@H](N3)C6CCOCC6,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(C4CCOCC4)N3)n2)cc1,1,3812
4055,CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)S(=O)(=O)C,O=C(Cc1ccccc1)NC1CCN(Cc2ccccc2)CC1,1,3813
4014,CC(=O)NCCc1ccccc1c2ccc([C@H]3CNCC[C@@H]3c4cccnc4)c(Cl)c2,c1ccc(-c2ccc(C3CNCCC3c3cccnc3)cc2)cc1,1,3814
3420,Cn1cc(cn1)c2cnc3C=Cc4ccc(NS(=O)(=O)C)cc4C(=O)c3c2,O=c1c2ccccc2ccc2ncc(-c3cn[nH]c3)cc12,0,3815
158,Cc1c(O)cccc1C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,O=C(NC(CCN1CCC2CCCCC2C1)CSc1ccccc1)c1ccccc1,0,3816
3135,Fc1ccccc1COC2=CC(=O)N(C=C2)c3ccc(OCCN4CCCC4)cc3,O=c1cc(OCc2ccccc2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,3817
8042,CCOC(=O)C1=C(CN)NC(=NC1c2ccc(Cl)cc2Cl)c3nccs3,C1=CC(c2ccccc2)N=C(c2nccs2)N1,1,3818
2334,Nc1ccc(cn1)c2cnc3nc(sc3c2)N4CCC(CC4)N5CCCCC5,c1cncc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)c1,0,3819
1491,FC(F)(F)c1ccc(cc1)n2ccc(CN3CCC(CC3)NC(=O)COc4cccc(Cl)c4)c2,O=C(COc1ccccc1)NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1,1,3820
1531,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(nc1OCCC4CCN(C)CC4)C#N,c1nc(NCC2CCC3(CCC3)CC2)cc(OCCC2CCNCC2)n1,1,3821
7135,Cn1c(SCCCN2CC3CCN(C3C2)c4ccc(F)cc4F)nnc1c5cnccn5,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnccn5)[nH]4)CC32)cc1,1,3822
305,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4)CC3)cc2N1,1,3823
2984,Cc1cc(N[C@H](CCCCNCc2ccc(F)cc2)C(=O)NO)cc(C)c1F,c1ccc(CNCCCCCNc2ccccc2)cc1,1,3824
7702,Fc1ccc(cc1)S(=O)(=O)NCCN2CC3CN(Cc4ccc(cc4)C#N)CC(C2)O3,O=S(=O)(NCCN1CC2CN(Cc3ccccc3)CC(C1)O2)c1ccccc1,0,3825
8128,C(C(c1cccnc1)c2cccnc2)c3ccccc3c4ccccc4,c1ccc(-c2ccccc2CC(c2cccnc2)c2cccnc2)cc1,1,3826
3458,COc1cccc(c1)S(=O)(=O)N2Cc3ccc(\C=C\C(=O)NO)cc3C2,O=S(=O)(c1ccccc1)N1Cc2ccccc2C1,0,3827
3982,CCN(C1CCN(CC[C@H](C2CCN(CC2)S(=O)(=O)C)c3cc(F)cc(Cl)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)C2CCNCC2)CC1,0,3828
446,COc1ccc(cc1OC)C(=O)N2CCN(CC2)c3ccc4NC(=O)CCc4c3,O=C1CCc2cc(N3CCN(C(=O)c4ccccc4)CC3)ccc2N1,1,3829
7490,Cc1nccn1c2ccc(cc2)c3cn(CC(=O)Nc4cccc(Cl)c4Cl)nn3,O=C(Cn1cc(-c2ccc(-n3ccnc3)cc2)nn1)Nc1ccccc1,1,3830
2004,FC(F)(F)c1cccc(CN2CCN(CCN3Cc4ccccc4C3)C2=O)c1,O=C1N(CCN2Cc3ccccc3C2)CCN1Cc1ccccc1,1,3831
2635,COc1ccc2C(=C(CCN(C)C)Cc2c1)[C@@H](C)c3cnccn3,C1=C(Cc2cnccn2)c2ccccc2C1,1,3832
4330,Clc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(Cc4ccccc4)C3)CC2)cc1Cl,O=C(Nc1ccccc1)N1CCN(CC2CCCN(Cc3ccccc3)C2)CC1,1,3833
5920,CCOC[C@H](Oc1ncnc2c1cnn2c3ncccc3Cl)C(=O)Nc4cnc(C)cn4,O=C(COc1ncnc2c1cnn2-c1ccccn1)Nc1cnccn1,0,3834
5383,CC(C)CCOc1ccc2N[C@H](C3CCOCC3)[C@@H]4CCCO[C@@H]4c2c1,c1ccc2c(c1)NC(C1CCOCC1)C1CCCOC21,1,3835
3056,O=C1C=C(OCc2ccccc2)C=CN1c3ccc4c(cnn4CCN5CCNCC5)c3,O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(cnn2CCN2CCNCC2)c1,0,3836
5397,Cn1nccc1CCOc2ccc(cc2)C3CCN(CC3)c4ccc5nnc(n5n4)C(F)(F)F,c1cc(CCOc2ccc(C3CCN(c4ccc5nncn5n4)CC3)cc2)[nH]n1,0,3837
7296,O=C(N1CCC(CC1)Oc2ccc(CN3CCCC3)cc2)c4cc(on4)c5ccccc5,O=C(c1cc(-c2ccccc2)on1)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1,1,3838
6606,NC(=O)c1cnc2[nH]ccc2c1NC3CCN(CC3)c4ccc(cn4)C#N,c1ccc(N2CCC(Nc3ccnc4[nH]ccc34)CC2)nc1,0,3839
5844,CC(C)N1CCCC(CN2C(=O)c3sc(cc3N=C2c4ccccc4C)c5ccc(Cl)cc5)C1,O=c1c2sc(-c3ccccc3)cc2nc(-c2ccccc2)n1CC1CCCNC1,1,3840
5719,C\C(=N/NC(=O)c1cccc(c1)S(=O)(=O)N2CCOCC2)\c3cc(Cl)ccc3O,O=C(NN=Cc1ccccc1)c1cccc(S(=O)(=O)N2CCOCC2)c1,1,3841
3484,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCN(CC(=O)N(C)C)CC5,c1ccn2c(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)cnc2c1,0,3842
7157,COc1ccc(cc1)N2CCC3CN(CCCSc4nnc(c5cnccn5)n4C)CC23,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnccn5)[nH]4)CC32)cc1,1,3843
8066,CCCCc1cc(OC2CCN(CCCS(=O)(=O)C(C)(C)C)CC2)c3ncccc3c1,c1cnc2c(OC3CCNCC3)cccc2c1,1,3844
1711,COc1ccc(cc1)C2=CC3(CCNCC3)Oc4ccccc24,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,1,3845
7351,CNC(=O)c1cccc(OCCCCN2CCC(CC2)c3noc4cc(F)ccc34)c1,c1ccc(OCCCCN2CCC(c3noc4ccccc34)CC2)cc1,1,3846
4614,Cc1cc(ccc1c2ccnc(NCc3n[nH]c(c3Cl)c4ccccc4)c2)C#N,c1ccc(-c2ccnc(NCc3cc(-c4ccccc4)[nH]n3)c2)cc1,0,3847
3158,N[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c3ccccc13,c1ccc(N2CCCc3ccccc32)cc1,1,3848
163,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ncc(C)s3,O=C(Nc1nccs1)C1=Cc2ccccc2S(=O)(=O)N1,0,3849
6152,COc1cnc2C=CC(=O)N(CCN3CCC(CC3)c4nc5cc(Cl)c(F)cc5[nH]4)c2c1,O=c1ccc2ncccc2n1CCN1CCC(c2nc3ccccc3[nH]2)CC1,1,3850
7662,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c4ccc(cc4)C(F)(F)F)C2)nnc1c5ccccn5,c1ccc(C2CC23CCN(CCCSc2nnc(-c4ccccn4)[nH]2)C3)cc1,1,3851
3494,CNCC(=O)N1CCN(CC1)c2ccc(Nc3ncc(Cl)c(n3)c4cnc5ccccn45)c(OC)c2,c1ccn2c(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)cnc2c1,1,3852
4268,O=C(NC1CCC1)c2ccc(cc2)c3ccc4C(=O)N(CCN5CCCC5)CCc4c3,O=C(NC1CCC1)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,1,3853
605,CCCCCCCCc1ccc(O)cc1,c1ccccc1,0,3854
2410,Cc1ccc2oc(nc2n1)N3CCN4CCC3CC4,c1cnc2nc(N3CCN4CCC3CC4)oc2c1,0,3855
2128,COc1ccc(cc1)[C@@H](C)N[C@@H]2CC[C@@H](C(=O)C3CCC(CC3)(c4ccccc4)c5nnc(C)s5)C(C)(C)C2,O=C(C1CCC(NCc2ccccc2)CC1)C1CCC(c2ccccc2)(c2nncs2)CC1,1,3856
811,COc1ccc(cc1)c2nnc(SCCCN3CCc4ccc(cc4CC3)c5cc(C)on5)n2C,c1ccc(-c2nnc(SCCCN3CCc4ccc(-c5ccon5)cc4CC3)[nH]2)cc1,1,3857
2659,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(sc3C)c4ccc(Cl)cc4)c2)cc1,O=C(NCc1cccc(OCc2csc(-c3ccccc3)n2)c1)Oc1ccccc1,1,3858
7270,Cc1c(O)ccc2C(N(Cc3ccccc3c4ccc(F)cc4)C(=O)c12)C(=O)NC(C)(C)C,O=C1c2ccccc2CN1Cc1ccccc1-c1ccccc1,0,3859
3425,CN(Cc1cnccn1)S(=O)(=O)Nc2ccc3C=Cc4ncc(cc4C(=O)c3c2)c5cnn(C)c5,O=c1c2cc(NS(=O)(=O)NCc3cnccn3)ccc2ccc2ncc(-c3cn[nH]c3)cc12,1,3860
4461,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](NC(=O)[C@H](Cc3ccccc3)N(C)C1=O)[C@@H](C)CC,O=C1CNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C(Cc2ccccc2)N1,0,3861
103,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,O=S(=O)(Nc1ncccn1)c1ccccc1,0,3862
4176,Fc1cccc(c1)C(=O)Nc2ccc(cc2)c3oc(NCCCN4CCCCC4)nn3,O=C(Nc1ccc(-c2nnc(NCCCN3CCCCC3)o2)cc1)c1ccccc1,1,3863
1176,CN1CCN(CC1)C(=O)c2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOc6ccccc6)c2,O=C(c1ccc2c(c1)Cc1c(-c3csc(C#CCOc4ccccc4)c3)n[nH]c1-2)N1CCNCC1,1,3864
8122,C[C@]1(N)CC[C@@H](Nc2c(cnn3cc(cc23)c4cncnc4)C(=O)N)C1(C)C,c1ncc(-c2cc3c(NC4CCCC4)ccnn3c2)cn1,1,3865
7154,C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6cscn6,c1ccc2c3c([nH]c2c1)C(C1CCOCC1)NC(c1nc(-c2cscn2)c[nH]1)C3,1,3866
7708,COc1ccc2SCCN(Cc2c1)C(=O)N3CCN(Cc4ccc5OCOc5c4)CC3,O=C(N1CCN(Cc2ccc3c(c2)OCO3)CC1)N1CCSc2ccccc2C1,1,3867
2692,CN(C)CCC1=C(Cc2cccnn2)c3ccc(F)cc3C1,C1=C(Cc2cccnn2)c2ccccc2C1,1,3868
4883,COc1c(C)cc(nc1C)C2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncnc5,C1=NC(c2cccc(-c3cncnc3)c2)(c2ccccn2)c2ccccc21,1,3869
6276,Cc1ccc(F)cc1C(C)(C)CC(O)(Cc2cc3cc(ncc3[nH]2)c4ccccc4)C(F)(F)F,c1ccc(CCCCc2cc3cc(-c4ccccc4)ncc3[nH]2)cc1,1,3870
3689,CCOC(=O)[C@@H]1CC[C@@H](CC1)N2CC(C2)NC(=O)CNc3nn(CC(F)(F)F)c4ccc(cc34)C(F)(F)F,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCCCC2)C1,1,3871
7819,COc1cc(c(F)cc1c2nccc3cc(ccc23)S(=O)(=O)Nc4ccon4)c5cccc(c5)C(F)(F)F,O=S(=O)(Nc1ccon1)c1ccc2c(-c3ccc(-c4ccccc4)cc3)nccc2c1,1,3872
