,Canonical_smiles,IC50(nM),ClassA,ClassB,ClassC,ClassD,ClassE,ClassI,ClassJ,No,Murcko
270,CCN(CC)C(=S)SSC(=S)N(CC)CC,1000000.0,0,0,0,0,0,0,0,2056,
3266,NCC(Oc1cc(Cl)ccc1Cl)c2ccccc2,1000000.0,0,0,0,0,0,0,0,2057,c1ccc(COc2ccccc2)cc1
2391,Clc1cnc2nc(oc2c1)N3CCN4CCC3CC4,3300.0,0,,,,,1,1,2058,c1cnc2nc(N3CCN4CCC3CC4)oc2c1
4745,Fc1cnc(CCN2C(C(=O)NCc3cccc(OC(F)(F)F)c3)c4ccccc4C2=O)nc1,24000.0,0,0,0,,,0,0,2059,O=C(NCc1ccccc1)C1c2ccccc2C(=O)N1CCc1ncccn1
4052,CN([C@@H]1CCN(Cc2ccc(cn2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,10000.0,0,,,,,1,1,2060,O=C(Cc1ccc(-n2cnnn2)cc1)NC1CCN(Cc2ccccn2)CC1
981,CCC1(CCC(C)C)C(=O)NC(=NC1=O)O,1000000.0,0,0,0,0,0,0,0,2061,O=C1CC(=O)NC=N1
5063,CC(C)n1c(\C=C\C(O)CC(O)CC(=O)O)c(c2ccc(F)cc2)c3ccccc13,1000000.0,0,0,0,0,0,0,0,2062,c1ccc(-c2c[nH]c3ccccc23)cc1
6810,Cc1nn(cc1CN2CC(O)C2)c3ccnc(Nc4ccc5c(c4)c(Cl)c(C)n5C)n3,24200.0,0,0,0,,,0,0,2063,c1cc(-n2cc(CN3CCC3)cn2)nc(Nc2ccc3[nH]ccc3c2)n1
6130,CN(C)c1ccc(\C=C\c2c(F)cccc2Cl)nc1,20700.0,0,0,0,,,0,0,2064,C(=Cc1ccccn1)c1ccccc1
6668,COc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)N(C)C(=O)c5ccc6OCC(=O)Nc6n5)c2n1,30000.0,0,0,0,,,0,0,2065,O=C1COc2ccc(C(=O)NC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1
869,Fc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc(OCC(F)(F)F)c(F)c4)CC3,1600.0,0,,,,,1,1,2066,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1
534,Cc1cccc(C)c1NC(=O)CN2CCN(CCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2,15.85,1,1,1,1,1,1,1,2067,O=C(CN1CCN(CCCC(c2ccccc2)c2ccccc2)CC1)Nc1ccccc1
1412,CC(C)c1noc(n1)C2CCN(CC2)C(C)C[C@H](NC(=O)C3CCC3)c4ccccc4,1650.0,0,,,,,1,1,2068,O=C(NC(CCN1CCC(c2ncno2)CC1)c1ccccc1)C1CCC1
2728,C[C@H](O)C(=O)NC1CC(C)(C)Oc2nc(c(cc12)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl,120.0,1,1,1,1,1,1,1,2069,c1ccc(-c2cc3c(nc2-c2ccccc2)OCCC3)cc1
6880,CCc1nc2c(C)cc(C)nc2n1Cc3ccc(\C=C\CN4CCN(CC4)C(C)C)cc3,1000.0,1,1,1,1,1,1,1,2070,C(=Cc1ccc(Cn2cnc3cccnc32)cc1)CN1CCNCC1
5955,OC1CN(C[C@H](Oc2ncnc3c2cnn3c4c(Cl)cccc4Cl)C(=O)Nc5ccc(F)cn5)C1,19000.0,0,0,,,,0,1,2071,O=C(Nc1ccccn1)C(CN1CCC1)Oc1ncnc2c1cnn2-c1ccccc1
471,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,1000000.0,0,0,0,0,0,0,0,2072,c1ccc(Sc2ccc3nc[nH]c3c2)cc1
6198,OC(=O)C(F)(F)F.Clc1cccc(CN(CC2CNC2)c3ccccc3)c1Cl,1880.0,0,,,,,1,1,2073,c1ccc(CN(CC2CNC2)c2ccccc2)cc1
7415,FC(F)(F)c1c(OC[C@H]2C[C@@H]2c3ccc(Cl)cc3)ccn4c(CC5CC5)nnc14,380.0,1,1,1,1,1,1,1,2074,c1ccc(C2CC2COc2ccn3c(CC4CC4)nnc3c2)cc1
4063,C(N1CCC(CC1)Oc2ncnc3c2ccn3Cc4ccccc4)c5cscn5,760.0,1,1,1,1,1,1,1,2075,c1ccc(Cn2ccc3c(OC4CCN(Cc5cscn5)CC4)ncnc32)cc1
644,CCCOc1ccccc1CC(N2CCNCC2)c3ccccc3,5840.0,0,,,,,1,1,2076,c1ccc(CC(c2ccccc2)N2CCNCC2)cc1
4472,CN1CCN(CC1)c2cccc3OC[C@H](Cc23)NC(=O)c4nn(nc4C)c5ccccc5,7943.28,0,,,,,1,1,2077,O=C(NC1COc2cccc(N3CCNCC3)c2C1)c1cnn(-c2ccccc2)n1
3059,O=C1O[C@@]2(CC[C@H](CC2)c3nc4cc(ccc4[nH]3)C#N)CN1c5ccccc5,10000.0,0,,,,,1,1,2078,O=C1OC2(CCC(c3nc4ccccc4[nH]3)CC2)CN1c1ccccc1
6172,CCOC(=O)c1ccnc(c1)[C@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cc6)c7cnn(C)c7,1205.0,0,,,,,1,1,2079,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(c4cn[nH]c4)(c4ccccn4)N3)n2)cc1
2067,COc1ccc(CN[C@@H]2CC[C@@H](C(=O)N3CCC(CC3)(C(=O)N4CCCC4)c5ccccc5)C(C)(C)C2)cc1,900.0,1,1,1,1,1,1,1,2080,O=C(C1CCC(NCc2ccccc2)CC1)N1CCC(C(=O)N2CCCC2)(c2ccccc2)CC1
7792,CN1CCC(CC1=O)c2nnc(SCCCN3CC[C@]4(C[C@@H]4c5ccc(cc5)C(F)(F)F)C3)n2C,10000.0,0,,,,,1,1,2081,O=C1CC(c2nnc(SCCCN3CCC4(CC4c4ccccc4)C3)[nH]2)CCN1
2758,CC1(C)C[C@@H](NC(=O)c2cccc3[nH]ncc23)c4cc(c5ccc(Cl)cc5)c(nc4O1)c6ccc(Cl)cc6Cl,30000.0,0,0,0,,,0,0,2082,O=C(NC1CCOc2nc(-c3ccccc3)c(-c3ccccc3)cc21)c1cccc2[nH]ncc12
1790,Cc1ncc(cc1F)c2c(C)c(CNC3CCCC3)nn2c4ncccc4Cl,23000.0,0,0,0,,,0,0,2083,c1ccc(-n2nc(CNC3CCCC3)cc2-c2cccnc2)nc1
3910,CCN1C(=O)C(=Cc2nnc(c3c(F)cccc3Cl)n12)c4cc(cc(F)c4C)C(=O)NC5CC5,30000.0,0,0,0,,,0,0,2084,O=C(NC1CC1)c1cccc(-c2cc3nnc(-c4ccccc4)n3[nH]c2=O)c1
6191,OCCONC(=O)c1ncc2cncn2c1Nc3ccc(I)cc3F,3300.0,0,,,,,1,1,2085,c1ccc(Nc2cncc3cncn23)cc1
956,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5nc6ccc(Cl)cn6c5CC4)n3C,1584.89,0,,,,,1,1,2086,c1cc(-c2nnc(SCCCN3CCc4nc5ccccn5c4CC3)[nH]2)c2cccnc2c1
444,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,199.53,1,1,1,1,1,1,1,2087,c1ccc(CCCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)cc1
6292,Fc1cccnc1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2,3000.0,0,,,,,1,1,2088,c1ccc(-c2ccc3[nH]nc(-c4cncc(OC5CNCCC56CC6)n4)c3c2)nc1
7224,CN(Cc1ccc(OC2CN(C2)C(=O)c3oc(nn3)c4ccccc4)cc1)CC5(C)COC5,14000.0,0,0,,,,0,1,2089,O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CNCC3COC3)cc2)C1
6852,NC1=NC2(CO1)c3cc(ccc3OC(Cc4ccccc4)C25COC5)c6cncnc6,7730.0,0,,,,,1,1,2090,C1=NC2(CO1)c1cc(-c3cncnc3)ccc1OC(Cc1ccccc1)C21COC1
2729,CC(=O)N1C[C@H](C[C@@H]1C(=O)N2CCCN(CC2)C3CCC3)Oc4ccc(F)cc4,10000.0,0,,,,,1,1,2091,O=C(C1CC(Oc2ccccc2)CN1)N1CCCN(C2CCC2)CC1
1288,C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C,14000.0,0,0,,,,0,1,2092,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)nc1
4194,NS(=O)(=O)c1ccc(OCCCN2CCCCC2)cc1,93200.0,0,0,0,0,0,0,0,2093,c1ccc(OCCCN2CCCCC2)cc1
6898,CC(Cc1ccncc1)c2nc3cc(C)c(C)cc3n2Cc4ccc(Cl)cc4,8800.0,0,,,,,1,1,2094,c1ccc(Cn2c(CCc3ccncc3)nc3ccccc32)cc1
3731,Cn1cc(cn1)c2ccc3c(c2)[nH]c4c(cnc(N[C@H](C5CC5)C(F)(F)F)c34)C(=O)N,3400.0,0,,,,,1,1,2095,c1cc2[nH]c3cc(-c4cn[nH]c4)ccc3c2c(NCC2CC2)n1
7649,COc1c2CCC[C@H](Cc2ccc1Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)N6CCN(CCO)CC6,10000.0,0,,,,,1,1,2096,C1=CC2CC1CC2Nc1ccnc(Nc2ccc3c(c2)CCCC(N2CCNCC2)C3)n1
5680,CCCCCCC[N+](CC)(CC)CC#Cc1ccc(Cl)cc1.Cc2ccc(cc2)S(=O)(=O)[O-],40.0,1,1,1,1,1,1,1,2097,c1ccccc1.c1ccccc1
2619,OCCN1CCC(CC1)N(C(=O)NCc2ccc(F)cc2)c3ccc(Br)cc3,7880.0,0,,,,,1,1,2098,O=C(NCc1ccccc1)N(c1ccccc1)C1CCNCC1
5365,COc1ccc(cc1C(=O)N(C)C)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,32000.0,0,0,0,0,,0,0,2099,c1ccc(-c2ccc3c(N4CCOCC4)nc(N4CCOCC4)nc3n2)cc1
6912,Cc1cc2nc(\C=C\c3occc3)n(Cc4ccc(Cl)cc4)c2cc1C,10000.0,0,,,,,1,1,2100,C(=Cc1nc2ccccc2n1Cc1ccccc1)c1ccco1
5727,Cl.OC(=O)[C@@H]1Cc2cn(C\C=C\COc3ccc(Cl)c(c3)C(=O)N1)cn2,10000.0,0,,,,,1,1,2101,O=C1NCCc2cn(cn2)CC=CCOc2cccc1c2
4586,[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc4nonc4c3)CC2)cc1,25.0,1,1,1,1,1,1,1,2102,c1ccc(CCN2CCN(CCc3ccc4nonc4c3)CC2)cc1
1782,C[C@@H]1CN(C[C@@H]2CCc3cccnc3[C@@H](O)C2)CC[C@H]1c4ccccc4C,9200.0,0,,,,,1,1,2103,c1ccc(C2CCN(CC3CCc4cccnc4CC3)CC2)cc1
704,FC(F)(F)c1ccc(CNC(=O)N2CCC[C@H]2CN3CCCC3)cc1,40000.0,0,0,0,0,,0,0,2104,O=C(NCc1ccccc1)N1CCCC1CN1CCCC1
6315,OC1(CC23CCC(CC2)(CO3)NCc4ccc5OCC(=O)Nc5n4)CN6C(=O)C(=Cc7ncc(F)c1c67)Cl,60000.0,0,0,0,0,0,0,0,2105,O=C1COc2ccc(CNC34CCC(CC5Cn6c(=O)ccc7nccc5c76)(CC3)OC4)nc2N1
7966,Cc1cc(sn1)N2CCC3(CCN(C[C@H](O)c4ccc5C(=O)OCc5c4C)CC3)C2=O,6600.0,0,,,,,1,1,2106,O=C1OCc2cc(CCN3CCC4(CC3)CCN(c3ccns3)C4=O)ccc21
8235,C(Nc1nc(nc2cccc(c3ccccc3)c12)c4cccnc4)c5ccccn5,20000.0,0,0,,,,0,1,2107,c1ccc(-c2cccc3nc(-c4cccnc4)nc(NCc4ccccn4)c23)cc1
4177,Fc1cccc(F)c1C(=O)Nc2ccc(cc2)c3oc(NCCCN4CCCCC4)nn3,7943.28,0,,,,,1,1,2108,O=C(Nc1ccc(-c2nnc(NCCCN3CCCCC3)o2)cc1)c1ccccc1
1999,OC12CC3CC(C1)CC(C3)(C2)NC(=O)NC4CCN(Cc5ccn(c5)c6ccc(cc6)C(F)(F)F)CC4,31600.0,0,0,0,0,,0,0,2109,O=C(NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1)NC12CC3CC(CC(C3)C1)C2
6174,CCOC(=O)c1cncc(c1)[C@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cc6)c7cnn(C)c7,2520.0,0,,,,,1,1,2110,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(c4cccnc4)(c4cn[nH]c4)N3)n2)cc1
4344,CCN1CCO[C@@H](CN2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3)C1,7900.0,0,,,,,1,1,2111,O=C(Nc1ccccc1)N1CCN(CC2CNCCO2)CC1
4297,COc1cc(cc(OC)c1OC)C(=O)NCC2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)C2,100.0,1,1,1,1,1,1,1,2112,O=C(NCC1CCN(CCCCCC(c2ccccc2)c2ccccc2)C1)c1ccccc1
